CAPÍTULO,PERGUNTA,RESPOSTA
Capítulo 15,Na parábola da dracma perdida: quantas dracmas eram?,Dez
Capítulo 15,Quantas ela perdeu?,Uma
Capítulo 15,O que ela faz para achar a dracma perdida?,"Acende a candeia, varre a casa e busca com diligência até achar"
Capítulo 15,"Quando acha, o que ela faz?",Convoca as amigas e vizinhas para alegrar-se com ela
Capítulo 15,Na parábola do filho pródigo: quantos filhos eram?,Dois
Capítulo 15,Quem pediu metade da herança para ir embora?,O mais novo
Capítulo 15,Para onde ele foi?,Para uma terra longínqua
Capítulo 15,O que ele fez com a herança?,"Gastou tudo, desperdiçou a fazenda e viveu dissolutamente"
Capítulo 15,O que veio àquela região?,Uma grande fome
Capítulo 15,Que trabalho ele arrumou para sobreviver?,Apascentar porcos
Capítulo 15,O que ele comia para encher o estômago?,Bolotas que os porcos comiam
Capítulo 15,"Não aguentando mais, o que fez?",Voltou para o pai e pediu para ser um dos seus trabalhadores
Capítulo 15,O que o pai fez quando o viu de longe?,"Correu ao seu encontro, lançou-se ao pescoço e o beijou"
Capítulo 15,O que deu a ele?,"Roupas, sandálias e um anel no dedo, e fez uma festa"
Capítulo 15,Quem chegou e reclamou?,O filho mais velho
Capítulo 15,Por que ele reclamou?,"Porque nunca ganhou um cabrito, enquanto o irmão gastou tudo com meretrizes e o pai matou um bezerro cevado"
Capítulo 16,Na parábola do mordomo infiel: de que foi acusado o mordomo infiel?,De dissipar os bens
Capítulo 16,O que o senhor pediu a ele?,Para dar conta da mordomia
Capítulo 16,O que ele fez para não ter problemas quando saísse?,Bolou um plano com os devedores do seu senhor
Capítulo 16,"O que devia 100 medidas de azeite, ele mandou marcar quanto?",Cinquenta
Capítulo 16,"O que devia 100 alqueires de trigo, ele mandou marcar quanto?",Oitenta
Capítulo 16,Qual foi a reação do seu senhor?,Louvou aquele infiel mordomo
Capítulo 16,Os filhos deste mundo são mais prudentes do que quem?,Os da luz
Capítulo 16,Granjeai amigos com riquezas da injustiça para que...?,"Quando estas faltarem, vos recebam nos tabernáculos eternos"
Capítulo 16,Quem é fiel no pouco é fiel no quê?,No muito
Capítulo 16,Não pode servir a Deus e a quem?,Mamom
Capítulo 16,A lei e os profetas duraram até quem?,João
Capítulo 16,Desde então é anunciado o quê?,O Reino de Deus
Capítulo 16,É mais fácil passar o céu do que o quê da lei?,Um til
Capítulo 16,Quem deixa a mulher e casa com outra comete que pecado?,Adultério
Capítulo 16,Na parábola do rico e Lázaro: do que vestia o homem rico?,De púrpura e linho finíssimo
Capítulo 16,O que tinha o mendigo Lázaro?,Cheio de chagas
Capítulo 16,O que ele comia?,Das migalhas que caíam da mesa do rico
Capítulo 16,Quem vinham lamber suas chagas?,Os cães
Capítulo 16,"Quando Lázaro morreu, para onde foi?",Ao seio de Abraão
Capítulo 16,"Quando o rico morreu, para onde foi?",Para o Hades em tormentos
Capítulo 16,O que ele pediu a Abraão?,Que Lázaro viesse e molhasse o dedo para refrescar sua língua
Capítulo 16,Por que não poderia um passar para o outro lado?,Por causa do abismo
Capítulo 16,O que ele pediu para Abraão depois?,Que enviasse alguém à sua casa para alertar seus cinco irmãos
Capítulo 16,O que Abraão respondeu?,"Eles têm Moisés e os profetas, ouçam-nos"
Capítulo 17,O que deveria fazer aquele de quem viesse escândalos?,Melhor seria colocar uma pedra de moinho e ser lançado ao mar do que fazer tropeçar um destes pequeninos.
Capítulo 17,"Se pecar sete vezes e sete vezes vier pedir perdão, o que deveria ser feito?",Deveria ser perdoado.
Capítulo 17,Se tivessem fé como um grão de mostarda o que seriam capazes de fazer?,"Dizer à amoreira: arranca-te daqui e lança-te no mar, e ela obedeceria."
Capítulo 17,Por que seríamos considerados servos inúteis?,Porque só fizemos o que deveria ser feito.
Capítulo 17,"Indo Jesus a Jerusalém, passando por Samaria e Galileia, quantos leprosos saíram ao encontro?",Dez.
Capítulo 17,O que eles disseram a Jesus?,"Mestre, tem misericórdia de nós."
Capítulo 17,Que ordem Jesus deu a eles?,Ide e mostrai-vos aos sacerdotes.
Capítulo 17,O que aconteceu no caminho?,Ficaram curados.
Capítulo 17,Quantos voltaram para agradecer e quem era ele?,"Apenas um, e ele era samaritano."
Capítulo 17,"Se alguém dissesse que o Reino de Deus era vindo, não deveriam acreditar. Porque o Filho do Homem viria comparado a quê?","Como o relâmpago ilumina desde uma extremidade até a outra, assim será no seu dia."
Capítulo 17,Como nos dias de quem seria a vinda do Filho do Homem?,"Como nos dias de Noé e de Ló: comiam, bebiam, casavam, compravam, vendiam, plantavam, edificavam, até que veio a destruição."
Capítulo 17,O que deveria fazer as pessoas nestas situações?,Estiver no telhado: não desça; estiver no campo: não volte para trás.
Capítulo 17,Que mulher é mencionada nesta parábola?,A mulher de Ló.
Capítulo 17,"Com respeito ao arrebatamento, responda:","Dois na cama: um será levado e outro ficará; duas moendo: uma será levada, outra ficará; dois no campo: um será tomado, outro ficará; onde estiverem os corpos, ajuntarão as águias."
Capítulo 18,"Na parábola do juiz iníquo, o que deveria sempre fazer?",Orar.
Capítulo 18,O que tinha na cidade?,Um juiz que não temia a Deus.
Capítulo 18,Quem o procurou?,Uma viúva.
Capítulo 18,Por que ele a atendeu?,Pela insistência dela.
Capítulo 18,"Na parábola do fariseu e do publicano, o que foram fazer no templo?",Orar.
Capítulo 18,Como orava o fariseu?,"De pé, dizendo ser justo e não como o publicano."
Capítulo 18,Quantas vezes ele jejuava por semana?,Duas.
Capítulo 18,Do que ele dava o dízimo?,De tudo que possuía.
Capítulo 18,Como orava o publicano?,"De pé, de longe, sem coragem de levantar os olhos, dizendo: “Ó Deus, tem misericórdia de mim”."
Capítulo 18,Quem saiu justificado?,O publicano.
Capítulo 18,Quem os discípulos repreendiam para não irem até Jesus?,As criancinhas.
Capítulo 18,O que perguntou o jovem rico a Jesus?,"Bom Mestre, o que devo fazer para herdar a vida eterna?"
Capítulo 18,Quem somente era bom?,Deus.
Capítulo 18,O que Jesus perguntou se ele fazia?,"Sabes os mandamentos: não adulterarás, não matarás, não furtarás, não dirás falso testemunho, honra pai e mãe."
Capítulo 18,Qual foi a resposta do jovem rico?,Todas estas coisas tenho feito desde a minha mocidade.
Capítulo 18,"O que Jesus disse que faltava pra ele, e que ordem deu?","Vende tudo o que tens, dá aos pobres, depois vem e segue-me."
Capítulo 18,Qual foi a reação do jovem rico?,Saiu triste porque era muito rico.
Capítulo 18,O que era mais fácil acontecer do que um rico entrar no céu?,Um camelo entrar pelo fundo de uma agulha.
Capítulo 18,Pedro disse que deixaram tudo e seguiram Jesus. O que Ele respondeu?,"Receberão muito mais neste mundo e, no vindouro, a vida eterna."
Capítulo 18,"Ao subir para Jerusalém, o que Jesus disse que aconteceria com Ele?","Seria entregue aos gentios, escarnecido, injuriado, cuspido, açoitado, morto e ao terceiro dia ressuscitaria."
Capítulo 18,"Chegando em Jericó, quem gritou “Jesus, Filho de Davi, tem misericórdia de mim”?",O cego de Jericó.
Capítulo 18,Jesus pediu para que ele viesse até Ele. O que o cego pediu?,"Senhor, que eu veja."
Capítulo 18,O que disse Jesus a ele?,"Vê, a tua fé te salvou."
Capítulo 19,"Entrando em Jericó, havia um homem rico e chefe dos publicanos. O que ele fez para ver Jesus?",Subiu em uma figueira brava.
Capítulo 19,O que Jesus disse a ele?,"Zaqueu, desce depressa, porque hoje convém pousar em tua casa."
Capítulo 19,O que as pessoas murmuravam?,Jesus entrara na casa de um pecador.
Capítulo 19,Qual foi a reação de Zaqueu com Jesus?,"Dou metade de meus bens aos pobres e, se defraudei alguém, restituo quadruplicado."
Capítulo 19,O que disse Jesus?,"Hoje veio salvação a esta casa, pois também este é filho de Abraão; porque o Filho do Homem veio buscar e salvar o que se havia perdido."
Capítulo 19,"Na parábola das dez minas, o que um nobre foi fazer em terra remota?",Tomar para si um reino.
Capítulo 19,Quem ele chamou e o que deu?,Dez servos e deu dez minas.
Capítulo 19,O primeiro servo devolveu quanto e qual foi o prêmio?,Dez minas; autoridade sobre dez cidades.
Capítulo 19,O segundo servo devolveu quanto e qual foi o prêmio?,Cinco minas; autoridade sobre cinco cidades.
Capítulo 19,O terceiro servo devolveu quanto e onde guardou?,Uma mina; guardou em um lenço.
Capítulo 19,Onde ele deveria ter colocado a mina?,Em um banco.
Capítulo 19,Para quem foi dada aquela mina?,Ao que tinha dez.
Capítulo 19,Aos inimigos o que ocorreria?,Seriam mortos diante do nobre.
Capítulo 19,Que lugares ficavam perto do monte das Oliveiras?,Betfagé e Betânia.
Capítulo 19,Que ordem deu a dois discípulos?,Ir à aldeia e trazer um jumentinho que nunca foi montado.
Capítulo 19,"Se alguém perguntasse por que estavam pegando o jumentinho, qual deveria ser a resposta?",Porque o Senhor precisa dele.
Capítulo 19,O que lançaram sobre o jumentinho e pelo caminho?,Suas vestes.
Capítulo 19,O que diziam no caminho?,Bendito o Rei que vem em nome do Senhor! Paz no céu e glória nas alturas.
Capítulo 19,O que Jesus respondeu aos fariseus que pediram para calar o povo?,"Se eles se calarem, as pedras clamarão."
Capítulo 19,O que Jesus fez ao ver a cidade?,Chorou sobre ela.
Capítulo 19,O que aconteceria com aquela cidade?,"Seria cercada, sitiada e destruída; não ficaria pedra sobre pedra."
Capítulo 19,O que Ele fez quando entrou no templo?,Expulsou os que vendiam e compravam no templo.
Capítulo 19,Por que os principais sacerdotes não achavam como matá-lo?,"Porque o povo pendia para Jesus, ouvindo-o."
Capítulo 20,"Qual foi a resposta de Jesus quando os principais dos sacerdotes, escribas e anciãos lhe perguntaram com que autoridade Ele fazia tudo aquilo?",Também farei uma pergunta: o batismo de João era do céu ou dos homens?
Capítulo 20,Qual foi a resposta deles e por que?,"Não sabemos, pois se dissessem do céu, Ele perguntaria por que não creram; se dissessem dos homens, o povo os apedrejaria por considerar João profeta."
Capítulo 20,"Na parábola dos lavradores maus, o que o homem plantou?",Uma vinha.
Capítulo 20,O que ele fez com a vinha?,Arrendou a uns lavradores e partiu para fora da terra por muito tempo.
Capítulo 20,Quem ele mandou à vinha?,Um servo.
Capítulo 20,O que os lavradores maus fizeram com o primeiro servo?,Espancaram e mandaram de volta vazio.
Capítulo 20,O que fizeram com o segundo servo?,"Espancaram e afrontaram, mandando-o vazio."
Capítulo 20,O que fizeram com o terceiro?,Feriram e expulsaram.
Capítulo 20,Quem ele mandou por fim?,O próprio filho amado.
Capítulo 20,O que os lavradores fizeram com o filho?,"Mataram-no fora da vinha, dizendo que a herança seria deles."
Capítulo 20,O que o senhor fez com eles?,Destruiu os lavradores maus e deu a vinha a outros.
Capítulo 20,"Querendo pegá-lo em alguma resposta, o que perguntaram sobre o tributo?",É lícito dar tributo a César ou não?
Capítulo 20,Qual foi a reação de Jesus?,Pediu uma moeda e perguntou de quem era a imagem e inscrição.
Capítulo 20,Qual foi a resposta deles e o que Jesus disse?,De César. Então dai a César o que é de César e a Deus o que é de Deus.
Capítulo 20,O que acontecia segundo a lei de Moisés quando um homem casado morria sem filhos?,O irmão deveria tomar a mulher para suscitar descendência.
Capítulo 20,O que os saduceus perguntaram sobre a ressurreição?,"De quem será mulher aquela que teve sete maridos, já que todos morreram?"
Capítulo 20,Qual foi a resposta de Jesus?,"No mundo vindouro não se casam, mas são como anjos; Deus é Deus de vivos e não de mortos."
Capítulo 20,De quem era Cristo filho?,Filho de Davi.
Capítulo 20,Que censura Jesus fez com respeito aos escribas?,"Gostam das vestes compridas, das saudações nas praças, das primeiras cadeiras nas sinagogas e dos primeiros lugares nos banquetes."
Capítulo 20,Quem eles devoravam e com que pretexto?,"As casas das viúvas, fazendo por pretexto longas orações."
Capítulo 21,"Na oferta da viúva pobre, onde os ricos lançavam o seu dinheiro?",Na arca do tesouro.
Capítulo 21,Quantas moedas a viúva lançou?,Duas pequenas moedas.
Capítulo 21,Quem lançou mais na arca do tesouro segundo Jesus?,"A viúva, pois deu tudo o que tinha, enquanto os outros deram do que lhes sobrava."
Capítulo 21,"No sermão profético, com respeito ao templo, o que Jesus disse?",Não ficará pedra sobre pedra que não seja derrubada.
Capítulo 21,Que cuidado deveriam ter para não serem enganados?,Muitos viriam em nome de Jesus dizendo “Sou eu” e “O tempo está próximo”.
Capítulo 21,"O que ocorreria, mas não seria o fim?","Guerras e sedições; é necessário, mas ainda não é o fim."
Capítulo 21,Que sinais aconteceriam?,"Nação contra nação, reino contra reino; terremotos, fomes, pestilências e sinais no céu."
Capítulo 21,"Antes de tudo isso, o que ocorreria com os seguidores de Jesus?","Seriam perseguidos, entregues às sinagogas, às prisões e levados diante de reis e governadores por causa de Jesus."
Capítulo 21,Que promessa teriam quanto ao que falar?,Jesus lhes daria boca e sabedoria.
Capítulo 21,Até quem os entregaria para a morte?,"Pais, irmãos e amigos."
Capítulo 21,O que não pereceria?,Nenhum fio de cabelo.
Capítulo 21,Na vossa paciência...,Possuí a vossa alma.
Capítulo 21,"Quando chegasse a desolação, o que seria sinal?",Quando Jerusalém estivesse cercada por exércitos.
Capítulo 21,O que fariam os que estivessem na Judeia?,Fugiriam para os montes.
Capítulo 21,O que aconteceria com Jerusalém?,Seria pisada pelos gentios até que se cumpram os tempos.
Capítulo 21,Que sinais teriam na volta do Filho do Homem?,"Sinais no sol, na lua e nas estrelas; angústia das nações pelo bramido do mar; os homens desmaiando de terror."
Capítulo 21,Como virá o Filho do Homem?,Numa nuvem com poder e grande glória.
Capítulo 21,"Quando estas coisas começarem a acontecer, o que fazer?","Olhar para cima e levantar a cabeça, porque a redenção se aproxima."
Capítulo 21,Do que o coração não deveria estar carregado?,"Glutonaria, embriaguez e cuidados da vida, para que aquele dia não venha de surpresa."
Capítulo 21,Como virá aquele dia?,Como um laço sobre todos os que habitam a terra.
Capítulo 21,O que deveria ser feito?,"Vigiar todo o tempo, orando para ser digno de escapar de tudo e estar de pé diante do Filho do Homem."
Capítulo 22,"Perto da Festa dos Pães Asmos, quem foi falar com os sacerdotes para entregar Jesus?","Judas Iscariotes, um dos doze."
Capítulo 22,Quem Jesus mandou preparar a Páscoa?,Pedro e João.
Capítulo 22,Quem eles deveriam seguir quando entrassem na cidade?,Um homem com um cântaro de água.
Capítulo 22,"Quando chegassem na casa, o que deveriam perguntar?",Onde está o aposento em que hei de comer a Páscoa?
Capítulo 22,O que o homem mostrou?,Um grande cenáculo mobiliado.
Capítulo 22,Qual era o desejo de Jesus antes de padecer?,Comer a Páscoa com os discípulos.
Capítulo 22,Até que viesse o quê não beberiam do fruto da vide?,O Reino de Deus.
Capítulo 22,O que representa o pão e o cálice?,O corpo e o sangue de Cristo.
Capítulo 22,O que era o cálice derramado por vós?,O novo testamento no sangue de Jesus.
Capítulo 22,O que Jesus disse sobre um dos discípulos?,A mão do que me trai está comigo à mesa.
Capítulo 22,"Quando houve contenda entre eles sobre quem era o maior, o que Jesus disse?",O maior entre vós seja como o menor.
Capítulo 22,O que fariam no Reino de Deus?,Assentariam em tronos e julgariam as doze tribos de Israel.
Capítulo 22,O que Satanás pediu para fazer com os discípulos e o que Jesus fez?,Cirandá-los como trigo; mas Jesus orou por Pedro para que sua fé não desfalecesse.
Capítulo 22,O que aconteceria com Pedro depois que se convertesse?,Confirmaria seus irmãos.
Capítulo 22,O que Jesus disse que Pedro faria?,"Antes que o galo cante, três vezes me negarás."
Capítulo 22,"Quando Jesus os enviou antes, nada lhes faltou; agora o que deviam levar?","Bolsa e alforje; e quem não tivesse espada, vendesse a capa e comprasse uma."
Capítulo 22,Quantas espadas tinham?,Duas.
Capítulo 22,Para onde Jesus foi orar após a ceia?,"Ao Monte das Oliveiras, no Getsêmani."
Capítulo 22,Qual era a oração de Jesus?,"Pai, se queres, passa de mim este cálice; todavia não se faça a minha vontade, mas a tua."
Capítulo 22,Quem apareceu para confortá-lo?,Um anjo do céu.
Capítulo 22,O que ocorreu quando orava em agonia?,Seu suor tornou-se como gotas de sangue.
Capítulo 22,"Ao levantar da oração, o que encontrou os discípulos fazendo?",Dormindo de tristeza.
Capítulo 22,Quem chegou em seguida e o que Judas fez?,Uma multidão; Judas beijou Jesus.
Capítulo 22,Qual foi a reação de um dos discípulos e o que Jesus fez?,Cortou a orelha do servo do sumo sacerdote; Jesus tocou e o curou.
Capítulo 22,Para onde levaram Jesus preso?,Para a casa do sumo sacerdote.
Capítulo 22,Onde Pedro se assentou?,"Perto do fogo, no pátio."
Capítulo 22,Quantas vezes Pedro negou Jesus e o que aconteceu depois?,"Três vezes; o galo cantou e Jesus olhou para Pedro, que chorou amargamente."
Capítulo 22,O que fizeram com Jesus antes de levá-lo ao concílio?,"Zombaram, feriram, vendaram seus olhos e mandaram que profetizasse."
Capítulo 22,Quem o conduziu ao concílio ao amanhecer?,"Anciãos do povo, principais sacerdotes e escribas."
Capítulo 22,O que perguntaram a Jesus e qual foi sua resposta?,Se és o Cristo; Ele disse: Vós dizeis que eu sou.
Capítulo 23,"Ao levarem Jesus para Pilatos, que acusações fizeram dele?","Perventendo a nação, proibindo dar tributo a César, e dizendo ser Cristo, o Rei."
Capítulo 23,"Que pergunta fez Pilatos a Jesus, e qual foi a resposta?",Tu és o Rei dos Judeus? … Tu o dizes.
Capítulo 23,"Pilatos ouvindo que Jesus ensinava por toda a Judéia, começando desde a Galiléia até Jerusalém, para quem Pilatos enviou Jesus?","Para Herodes, que naqueles dias estava em Jerusalém."
Capítulo 23,"Quando Herodes viu a Jesus, ficou alegre e fez muitas perguntas e esperava que Jesus fizesse algum sinal. Qual foi a resposta de Jesus?",Nada respondeu.
Capítulo 23,Herodes com seus soldados escarneciam de Jesus. Antes de enviar de volta a Pilatos o que eles fizeram?,Vestiram Jesus com uma roupa resplandecente.
Capítulo 23,O que aconteceu entre Pilatos e Herodes?,Fizeram as pazes e ficaram amigos naquele dia. Pois antes andavam em inimizade.
Capítulo 23,"Ao convocar os principais dos sacerdotes, os magistrados e o povo, o que Pilatos disse sobre Jesus?","Não vejo culpa alguma nele, nem Herodes viu."
Capítulo 23,"Na época da festa, era costume soltar um preso. Quem o povo pediu para ser solto, e quem era ele?",Barrabás. Tinha participado de uma sedição na cidade e de um homicídio.
Capítulo 23,"Ao soltar Barrabás, o que o povo pediu para fazer com Jesus?",Seja crucificado.
Capítulo 23,"No caminho do Gólgota, quem carregou a cruz de Jesus?","Simão, cireneu que vinha do campo."
Capítulo 23,Aonde batiam as mulheres quando lamentavam a condenação de Jesus?,No peito.
Capítulo 23,"Jesus ao ver elas aflitas, o que disse?","Filhas de Jerusalém, não choreis por mim, mas por vós e por vossos filhos. Eis que virão dias que as bem-aventuradas serão as estéreis, as que não geraram filhos e as que não amamentaram."
Capítulo 23,Onde crucificaram Jesus e com quem mais?,"Lugar chamado Caveira, com dois malfeitores."
Capítulo 23,O que disse Jesus ao ser crucificado?,"Pai, perdoa-lhes porque não sabem o que fazem."
Capítulo 23,O que fizeram com suas vestes?,Repartiram e lançaram sortes.
Capítulo 23,"Todos escarneciam dele dizendo se Ele fosse o Rei dos Judeus, que salvasse a si mesmo. O que os soldados ofereceram a Jesus?",Vinagre.
Capítulo 23,O que estava escrito por cima de Jesus e em que língua?,"Este é o Rei dos Judeus – em letras gregas, romanas e hebraicas."
Capítulo 23,O que disse um dos malfeitores a Jesus?,"Se tu és o Cristo, salva-te a ti mesmo e a nós."
Capítulo 23,O que o outro malfeitor disse?,"Tu nem temes a Deus, estando nesta condenação? Nós com justiça merecemos por nossos feitos. Mas este nenhum mal fez."
Capítulo 23,"Que pedido ele fez a Jesus, e qual foi a resposta?","Senhor, lembra-te de mim quando entrares no teu reino. Jesus respondeu: Em verdade te digo hoje, estarás comigo no paraíso."
Capítulo 23,Em que horas houve trevas em toda a terra?,Da hora sexta até a hora nona.
Capítulo 23,"Escurecendo o sol, o que ocorreu com o véu do templo?",Rasgou ao meio.
Capítulo 23,"Antes de expirar, o que Jesus disse?","Pai, nas tuas mãos entrego o meu espírito."
Capítulo 23,"Quem deu glória a Deus logo que Jesus expirou, e o que ele disse?",O centurião – Na verdade este homem era justo.
Capítulo 23,"Após a multidão presenciarem o espetáculo, o que eles voltando fizeram?",Batiam no peito.
Capítulo 23,Quem pediu o corpo de Jesus a Pilatos?,"José, um senador, natural de Arimatéia, cidade dos judeus."
Capítulo 23,O que ele fez com o corpo de Jesus?,"Enrolou em um lençol e pôs num sepulcro escavado numa penha, onde ninguém havia sido colocado antes."
Capítulo 23,"O que as mulheres que seguiam de longe, para ver onde tinham colocado o corpo de Jesus, fizeram no dia da Preparação, antes do sábado?",Prepararam ungüentos e especiarias.
Capítulo 24,"Logo de madrugada no primeiro dia da semana, elas foram ao sepulcro levando as especiarias. O que elas acharam no sepulcro?",A pedra removida e o corpo não estava lá.
Capítulo 23,Quem apareceu a elas com roupas resplandecentes?,Dois varões.
Capítulo 23,O que eles disseram às mulheres com respeito a Jesus?,"Por que buscais o vivente entre os mortos? Lembrai-vos o que Ele disse estando na Galiléia. Convém que o Filho do Homem seja entregue nas mãos dos pecadores, seja crucificado e ressuscite ao terceiro dia."
Capítulo 23,Saindo dali elas anunciaram aos onze discípulos e aos demais. Quem eram elas?,"Maria Madalena, Joana, Maria mãe de Tiago e as outras mulheres."
Capítulo 23,Que discípulo correu também ao sepulcro?,Pedro.
Capítulo 23,Qual era a distância de Emaús de Jerusalém?,Sessenta estádios.
Capítulo 23,De quem Jesus se aproximou e onde estavam?,De dois discípulos que andavam pelo caminho de Emaús.
Capítulo 23,Qual era o nome de um deles?,Cleopas.
Capítulo 23,O que eles conversavam pelo caminho?,Sobre o que tinha ocorrido com Jesus o Nazareno e como alguns foram ao sepulcro e não acharam o corpo de Jesus.
Capítulo 23,Que convite eles fizeram a Jesus quando chegaram à aldeia?,Já era tarde. Para que Jesus ficasse ali com eles.
Capítulo 23,"Estando com eles à mesa. O que Jesus fez, que abriu os olhos deles e eles o reconheceram?",Jesus pegando o pão abençoou e repartiu entre eles. E desapareceu.
Capítulo 23,"Eles saindo dali, foram contar aos onze discípulos o ocorrido. Quem apareceu novamente a eles?",Jesus.
Capítulo 23,Ao verem Jesus ficaram atemorizados e espantados. O que Jesus pediu para eles verem?,As mãos e os pés. Pediu para que tocassem nele.
Capítulo 23,O que Jesus comeu diante deles?,Um peixe assado e um favo de mel.
Capítulo 23,Convinha que se cumprisse o que estava escrito sobre Jesus aonde?,"Na lei de Moisés, nos profetas e nos Salmos."
Capítulo 23,Por que eles deveriam ficar em Jerusalém?,Até do alto serem revestidos de poder.
Capítulo 23,Até onde eles foram levados por Jesus antes de sua ascensão?,Até Betânia.
Milagre,Cura de um endemoniado em Cafarnaum,"Na sinagoga, homem com espírito de um demônio"
Milagre,Cura da sogra de Pedro,Febre alta
Milagre,Pesca maravilhosa,No barco de Pedro e André
Milagre,Cura de um leproso,"“Senhor, se quiseres”"
Milagre,Cura de um paralítico,Pelo telhado
Milagre,Cura do homem com mão mirrada,No sábado
Milagre,Cura do servo do centurião de Cafarnaum,Basta uma palavra
Milagre,Ressurreição do filho da viúva de Naim,Jesus ressuscita o jovem
Milagre,Libertação de Maria Madalena,Sete demônios
Milagre,Acalma a tempestade,Jesus estava dormindo
Milagre,Endemoniado gadareno,"Homem possuído, porcos envolvidos"
Milagre,Ressurreição da filha de Jairo,Menina de 12 anos
Milagre,Mulher com fluxo de sangue,Tocou nas vestes de Jesus
Milagre,Primeira multiplicação de pães e peixes,"5 pães, 2 peixes, 12 cestos, quase 5000 homens"
Milagre,Transfiguração,"Elias, Moisés e Jesus aparecem"
Milagre,Cura de um jovem lunático,Pai pede aos discípulos e depois a Jesus
Milagre,Mulher paralítica,18 anos curvada
Milagre,Cura do hidrópico,"Acúmulo de líquido no corpo, curado no sábado"
Milagre,Cura dos dez leprosos,"Apenas um voltou, era samaritano"
Milagre,Cego de Jericó,"Filho de Davi, “tem misericórdia de mim”"
Milagre,Orelha do servo do sumo sacerdote,Cortada no Getsêmani
Parábola,Parábola do semeador,"Caminho, pedras, espinho e boa"
Parábola,Parábola da candeia,Colocar no velador
Parábola,Parábola do bom samaritano,"Sacerdote, levita e samaritano"
Parábola,Parábola do amigo inoportuno,Pedido de 3 pães à noite
Parábola,Candeia do corpo,É o olho
Parábola,Parábola do rico insensato,"Planta, colhe, derruba o celeiro"
Parábola,Parábola do servo vigilante,Vigia a toda hora
Parábola,Parábola da figueira estéril,O vinhateiro pede um prazo
Parábola,Parábola do grão de mostarda,Planta e cresce grande
Parábola,Parábola do fermento,Mulher coloca em três medidas de farinha
Parábola,A porta estreita,Poucos vão se salvar
Parábola,Parábola dos primeiros assentos,Escolher o último lugar
Parábola,Parábola dos convidados,"Não chamar os amigos, mas os pobres"
Parábola,Parábola da grande ceia,"Convidou, ninguém foi, chamou todos depois"
Parábola,Parábola acerca da providência,"Fazer contas antes de gastar, ver exército antes de atacar"
Parábola,Parábola da ovelha perdida,"Eram 100, uma se perdeu"
Parábola,Parábola da dracma perdida,"Eram 10, perdeu uma"
Parábola,Parábola do filho pródigo,Dois filhos
Parábola,Parábola do mordomo infiel,Negocia a dívida dos devedores
Parábola,Parábola do rico e Lázaro,Seio de Abraão e tormento
Parábola,Parábola do juiz iníquo,Viúva que vai pedir
Parábola,Parábola do fariseu e do publicano,Eles oram no templo
Parábola,Parábola dos dez servos e das dez minas,"1 rendeu 10, 1 rendeu 5, 1 guardou no lenço"
Parábola,Parábola dos lavradores maus,Matam o filho
